발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018-02-14 06:35,주,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950497,1954702,126.9392741,37.59038756
2018,2018-09-02 05:23,야,일,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,953337,1950150,126.9717317,37.54950802
2018,2018-12-15 22:35,야,토,1,1,0,0,0,서울,성북구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,956967,1954807,127.0125517,37.59165934
2018,2018-08-23 11:30,주,목,1,1,0,0,0,서울,강북구,차량단독,기타,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,승합차,승합차,없음,없음,958020,1959193,127.0242273,37.63123983
2018,2018-07-16 00:50,야,월,1,1,0,0,0,서울,강북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,957606,1958258,127.0195897,37.62279351
2018,2018-12-30 04:19,야,일,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,957823,1957100,127.0221154,37.61236625
2018,2018-01-29 07:17,주,월,1,1,0,0,0,서울,광진구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,화물차,화물차,보행자,보행자,963182,1948990,127.0832413,37.53949856
2018,2018-05-11 04:47,야,금,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,951656,1949822,126.9527236,37.54646503
2018,2018-04-24 23:50,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,947686,1946843,126.9079958,37.51939806
2018,2018-02-04 07:07,주,일,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,946758,1944726,126.8976481,37.50026411
2018,2018-11-29 04:18,야,목,1,1,0,0,0,서울,성동구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,959955,1950388,127.0466383,37.55196461
2018,2018-06-17 11:05,주,일,1,1,0,0,0,서울,성동구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,자전거,자전거,자전거,자전거,958712,1949157,127.0326356,37.54081437
2018,2018-01-04 14:20,주,목,1,1,0,0,0,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,화물차,화물차,보행자,보행자,949202,1944843,126.9252888,37.50145641
2018,2018-02-06 12:00,주,화,1,1,0,0,0,서울,동작구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,950276,1945198,126.9374151,37.50471459
2018,2018-08-04 21:30,야,토,1,1,0,0,0,서울,중랑구,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,단일로,기타단일로,자전거,자전거,보행자,보행자,963551,1954643,127.087137,37.59046559
2018,2018-08-09 10:55,주,목,1,1,0,0,0,서울,관악구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,948543,1941973,126.9180342,37.47555196
2018,2018-03-17 08:00,주,토,1,4,3,0,0,서울,강남구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,특수차,특수차,960119,1947879,127.0486312,37.52935729
2018,2018-07-19 03:20,야,목,1,1,0,0,0,서울,강남구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,958982,1947813,127.0357669,37.52871253
2018,2018-09-18 19:30,야,화,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,944291,1950110,126.8693309,37.54864494
2018,2018-01-19 07:18,주,금,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965139,1946555,127.1055086,37.51762701
2018,2018-04-15 02:12,야,일,1,4,0,3,0,서울,송파구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,965125,1947519,127.1053044,37.52631541
2018,2018-08-22 03:50,야,수,1,1,0,0,0,서울,송파구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,966367,1945328,127.1194606,37.5066131
2018,2018-12-18 22:10,야,화,1,1,0,0,0,서울,구로구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,945726,1944557,126.8859857,37.49868078
2018,2018-05-03 05:31,야,목,1,4,0,3,0,서울,서초구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,956481,1946430,127.007544,37.51613248
2018,2018-05-17 01:37,야,목,1,1,0,0,0,서울,양천구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,945233,1949387,126.8800484,37.54218497
2018,2018-06-19 19:20,야,화,1,1,0,0,0,서울,도봉구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,959755,1963419,127.043657,37.66940705
2018,2018-09-10 12:10,주,월,1,1,0,0,0,서울,은평구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,949895,1957444,126.9322677,37.6150688
2018,2018-01-01 19:17,야,월,1,1,0,0,0,서울,은평구,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,949007,1957743,126.9221856,37.61771486
2018,2018-09-20 23:50,야,목,1,1,0,0,0,서울,강남구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,958436,1943919,127.0298078,37.49359011
2018,2018-01-08 13:08,주,월,1,1,0,0,0,서울,강남구,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,960661,1943434,127.0550033,37.4893161
2018,2018-08-10 00:30,야,금,1,1,0,0,0,부산,동구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1141334,1682867,129.0512513,35.13109241
2018,2018-08-22 19:41,야,수,1,1,0,0,0,부산,동래구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1145262,1689956,129.0955973,35.19443107
2018,2018-10-06 02:48,야,토,1,1,0,0,0,부산,동래구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1143632,1690680,129.0778252,35.20119156
2018,2018-10-10 06:20,주,수,1,2,1,0,0,부산,영도구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,이륜차,없음,없음,1142533,1678947,129.0637316,35.09558877
2018,2018-04-17 02:15,야,화,1,2,0,1,0,부산,해운대구,차량단독,공작물충돌,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,없음,없음,1152158,1688630,129.171072,35.18145782
2018,2018-02-20 06:50,주,화,1,1,0,0,0,부산,부산진구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,승용차,보행자,보행자,1138507,1684783,129.0205538,35.14875647
2018,2018-02-08 23:33,야,목,1,1,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1143194.5,1685568.1,129.0721332,35.15517659
2018,2018-03-12 20:45,야,월,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1139745,1686592,129.0344467,35.16489144
2018,2018-05-02 17:35,주,수,1,1,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,승용차,보행자,보행자,1140107,1686890,129.0384709,35.16752718
2018,2018-10-06 02:11,야,토,1,1,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1142517,1686693,129.0648916,35.16541253
2018,2018-10-19 07:30,주,금,1,1,0,0,0,부산,금정구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1144747.8,1696996.3,129.0911898,35.25796393
2018,2018-02-15 05:30,야,목,1,2,0,1,0,부산,금정구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,화물차,화물차,1144776.9,1696251.4,129.0913783,35.25124552
2018,2018-12-20 18:25,야,목,1,1,0,0,0,부산,사하구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1133106,1678429,128.9602555,35.09220898
2018,2018-09-22 10:52,주,토,1,1,0,0,0,부산,강서구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,이륜차,이륜차,1126999,1689696,128.8950082,35.1945642
2018,2018-09-18 14:17,주,화,1,1,0,0,0,부산,강서구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1128065,1679615,128.9051511,35.10355361
2018,2018-08-31 00:45,야,금,1,1,0,0,0,부산,강서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1133468,1690086,128.9661093,35.19724042
2018,2018-07-08 04:14,야,일,1,1,0,0,0,부산,사상구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1135786.5,1686369,128.9909576,35.16342399
2018,2018-07-21 02:45,야,토,1,2,0,0,1,부산,사상구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1133461,1682866,128.9648647,35.13215856
2018,2018-09-14 00:49,야,금,1,1,0,0,0,부산,기장군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1152520,1705558,129.1781892,35.33397812
2018,2018-02-11 23:29,야,일,1,1,0,0,0,경남,김해시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1127356,1693100,128.8994551,35.22520409
2018,2018-03-19 20:55,야,월,1,2,0,1,0,경남,김해시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,승용차,승용차,승용차,1122909,1708908,128.8529714,35.36826003
2018,2018-01-01 03:15,야,월,2,5,2,1,0,경남,양산시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1140544,1708565,129.0469778,35.36283936
2018,2018-10-31 06:20,주,수,1,1,0,0,0,경기,수원시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,957146,1919735,127.0166165,37.27554815
2018,2018-08-31 13:15,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,화물차,화물차,보행자,보행자,957016,1921057,127.0150737,37.28745823
2018,2018-06-30 01:55,야,토,1,1,0,0,0,경기,수원시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,956769,1921508,127.0122611,37.29151195
2018,2018-06-22 11:16,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,955255,1923087,126.9950853,37.30567284
2018,2018-12-27 13:50,주,목,1,1,0,0,0,경기,성남시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,968885,1939179,127.1482099,37.45127726
2018,2018-03-28 20:11,야,수,1,1,0,0,0,경기,평택시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,960830,1901098,127.0591478,37.10771905
2018,2018-12-04 00:45,야,화,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,950004,1887692,126.9381989,36.98636278
2018,2018-08-26 20:55,야,일,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,960603,1891813,127.0570799,37.02401398
2018,2018-06-21 20:48,야,목,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,951629,1889001,126.9563742,36.99824716
2018,2018-12-30 15:31,주,일,1,2,0,1,0,경기,평택시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승합차,승합차,966067,1888699,127.1186478,36.99615709
2018,2018-06-26 06:10,주,화,4,5,1,0,0,경기,안성시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,승용차,승용차,972444,1889857,127.1902716,37.00680425
2018,2018-10-06 16:05,주,토,1,1,0,0,0,경기,안성시,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,화물차,화물차,보행자,보행자,976602,1890532,127.2369859,37.01300168
2018,2018-01-28 23:20,야,일,1,1,0,0,0,경기,안성시,차량단독,전복,전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,976680,1891027,127.2378473,37.0174657
2018,2018-08-25 14:40,주,토,1,1,0,0,0,경기,광주시,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,기타,기타,이륜차,이륜차,승용차,승용차,975669,1939694,127.2248927,37.45612269
2018,2018-01-09 18:40,야,화,1,1,0,0,0,경기,여주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1012512,1918276,127.6411101,37.26329951
2018,2018-12-24 09:30,주,월,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,974222,1914977,127.2093917,37.23328969
2018,2018-04-14 11:12,주,토,1,1,0,0,0,경기,용인시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,977823,1926535,127.2496423,37.3375651
2018,2018-08-31 16:34,주,금,1,1,0,0,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,983159,1907336,127.3103148,37.1646175
2018,2018-06-23 23:30,야,토,2,2,0,0,0,경기,용인시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,승용차,승용차,승용차,978427,1914100,127.2568218,37.22549125
2018,2018-05-18 21:13,야,금,1,5,0,4,0,경기,용인시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,교차로,교차로부근,화물차,화물차,승용차,승용차,988499,1907831,127.370453,37.16916051
2018,2018-03-03 03:23,야,토,1,2,0,1,0,경기,용인시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,974185,1915297,127.2089635,37.23617313
2018,2018-09-30 04:40,야,일,1,1,0,0,0,경기,김포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,923070,1961098,126.6279596,37.64614657
2018,2018-07-17 10:30,주,화,1,1,0,0,0,경기,부천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,938764,1942322,126.8074139,37.47810105
2018,2018-12-11 01:15,야,화,1,1,0,0,0,경기,오산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,961264,1908079,127.063671,37.17066353
2018,2018-05-22 15:15,주,화,1,1,0,0,0,경기,부천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,933539,1945295,126.7480545,37.50453525
2018,2018-02-05 15:30,주,월,1,1,0,0,0,경기,광명시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,화물차,화물차,자전거,자전거,944558,1940561,126.8730735,37.46259479
2018,2018-03-31 16:22,주,토,1,1,0,0,0,경기,광명시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,자전거,승용차,승용차,942484,1935207,126.85004,37.41421149
